ice_sheet,exp,AOGCM,Scenario,Ocean forcing,Ocean sensitivity,Ice shelf fracture,Tier
AIS,exp01,noresm1-m_rcp85,rcp8.5,Open,Medium,FALSE,1
AIS,exp02,miroc-esm-chem_rcp85,rcp8.5,Open,Medium,FALSE,1
AIS,exp03,noresm1-m_rcp26,rcp2.6,Open,Medium,FALSE,1
AIS,exp04,ccsm4_rcp85,rcp8.5,Open,Medium,FALSE,1
AIS,exp05,noresm1-m_rcp85,rcp8.5,Standard,Medium,FALSE,1
AIS,exp06,miroc-esm-chem_rcp85,rcp8.5,Standard,Medium,FALSE,1
AIS,exp07,noresm1-m_rcp26,rcp2.6,Standard,Medium,FALSE,1
AIS,exp08,ccsm4_rcp85,rcp8.5,Standard,Medium,FALSE,1
AIS,exp09,noresm1-m_rcp85,rcp8.5,Standard,High,FALSE,1
AIS,exp10,noresm1-m_rcp85,rcp8.5,Standard,Low,FALSE,1
AIS,exp11,ccsm4_rcp85,rcp8.5,Open,Medium,TRUE,1
AIS,exp12,ccsm4_rcp85,rcp8.5,Standard,Medium,TRUE,1
AIS,exp13,noresm1-m_rcp85,rcp8.5,Standard,PIGL,FALSE,1
GrIS,exp01,miroc5_rcp85,rcp8.5,Open,Medium,FALSE,1
GrIS,exp02,noresm1-m_rcp85,rcp8.5,Open,Medium,FALSE,1
GrIS,exp03,miroc5_rcp85,rcp8.5,Open,Medium,FALSE,1
GrIS,exp04,hadgem2-es_rcp85,rcp8.5,Open,Medium,FALSE,1
GrIS,exp05,miroc5_rcp85,rcp8.5,Standard,Medium,FALSE,1
GrIS,exp06,noresm1-m_rcp85,rcp8.5,Standard,Medium,FALSE,1
GrIS,exp07,miroc5_rcp26,rcp2.6,Standard,Medium,FALSE,1
GrIS,exp08,hadgem2-es_rcp85,rcp8.5,Standard,Medium,FALSE,1
GrIS,exp09,miroc5_rcp85,rcp8.5,Standard,High,FALSE,1
GrIS,exp10,miroc5_rcp85,rcp8.5,Standard,Low,FALSE,1
AIS,expA1,hadgem2-es_rcp85,rcp8.5,Open,Medium,FALSE,2
AIS,expA2,csiro-mk3.6_rcp85,rcp8.5,Open,Medium,FALSE,2
AIS,expA3,ipsl-cm5-mr_rcp85,rcp8.5,Open,Medium,FALSE,2
AIS,expA4,ipsl-cm5-mr_rcp26,rcp2.6,Open,Medium,FALSE,1
AIS,expA5,hadgem2-es_rcp85,rcp8.5,Standard,Medium,FALSE,1
AIS,expA6,csiro-mk3.6_rcp85,rcp8.5,Standard,Medium,FALSE,1
AIS,expA7,ipsl-cm5-mr_rcp85,rcp8.5,Standard,Medium,FALSE,2
AIS,expA8,ipsl-cm5-mr_rcp26,rcp8.5,Standard,Medium,FALSE,2
AIS,expB1,cnrm-cm6_ssp585,ssp58.5,Open,Medium,FALSE,2
AIS,expB2,cnrm-cm6_ssp126,ssp12.6,Open,Medium,FALSE,2
AIS,expB3,ukesm1-0-ll_ssp585,ssp58.5,Open,Medium,FALSE,2
AIS,expB4,cesm2_ssp585,ssp58.5,Open,Medium,FALSE,2
AIS,expB5,cnrm-esm2_ssp585,ssp58.5,Open,Medium,FALSE,2
AIS,expB6,cnrm-cm6_ssp585,ssp58.5,Standard,Medium,FALSE,2
AIS,expB7,cnrm-cm6_ssp126,ssp12.6,Standard,Medium,FALSE,2
AIS,expB8,ukesm1-0-ll_ssp585,ssp58.5,Standard,Medium,FALSE,2
AIS,expB9,cesm2_ssp585,ssp58.5,Standard,Medium,FALSE,2
AIS,expB10,cnrm-esm2_ssp585,ssp58.5,Standard,Medium,FALSE,2
AIS,expC1,noresm1-m_ao_rcp85,rcp8.5,NAN,Medium,FALSE,3
AIS,expC2,noresm1-m_oo_rcp85,rcp8.5,Open,Medium,FALSE,3
AIS,expC3,noresm1-m_oo_rcp85,rcp8.5,Standard,Medium,FALSE,3
AIS,expC4,miroc-esm-chem_ao_rcp85,rcp8.5,NAN,Medium,FALSE,3
AIS,expC5,miroc-esm-chem_oo_rcp85,rcp8.5,Open,Medium,FALSE,3
AIS,expC6,noresm1-m_ao_rcp85,rcp8.5,Standard,Medium,FALSE,3
AIS,expC7,noresm1-m_ao_rcp26,rcp2.6,NAN,Medium,FALSE,3
AIS,expC8,noresm1-m_ao_rcp26,rcp2.6,Open,Medium,FALSE,3
AIS,expC9,noresm1-m_ao_rcp26,rcp2.6,Standard,Medium,FALSE,3
AIS,expC10,ccsm4_oo_rcp85,rcp8.5,NAN,Medium,FALSE,3
AIS,expC11,ccsm4_oo_rcp85,rcp8.5,Open,Medium,FALSE,3
AIS,expC12,ccsm4_oo_rcp85,rcp8.5,Standard,Medium,FALSE,3
AIS,expD1,miroc-esm-chem_rcp85,rcp8.5,Standard,High,FALSE,3
AIS,expD2,miroc-esm-chem_rcp85,rcp8.5,Standard,Low,FALSE,3
AIS,expD3,noresm1-m_rcp26,rcp2.6,Standard,High,FALSE,3
AIS,expD4,noresm1-m_rcp26,rcp2.6,Standard,Low,FALSE,3
AIS,expD5,ccsm4_rcp85,rcp8.5,Standard,High,FALSE,3
AIS,expD6,ccsm4_rcp85,rcp8.5,Standard,Low,FALSE,3
AIS,expD7,hadgem2-es_rcp85,rcp8.5,Standard,High,FALSE,3
AIS,expD8,hadgem2-es_rcp85,rcp8.5,Standard,Low,FALSE,3
AIS,expD9,csiro-mk3.6_rcp85,rcp8.5,Standard,High,FALSE,3
AIS,expD10,csiro-mk3.6_rcp85,rcp8.5,Standard,Low,FALSE,3
AIS,expD11,ipsl-cm5-mr_rcp85,rcp8.5,Standard,High,FALSE,3
AIS,expD12,ipsl-cm5-mr_rcp85,rcp8.5,Standard,Low,FALSE,3
AIS,expD13,cnrm-cm6_ssp585,ssp58.5,Standard,High,FALSE,3
AIS,expD14,cnrm-cm6_ssp585,ssp58.5,Standard,Low,FALSE,3
AIS,expD15,ukesm1-0-ll_ssp585,ssp58.5,Standard,High,FALSE,3
AIS,expD16,ukesm1-0-ll_ssp585,ssp58.5,Standard,Low,FALSE,3
AIS,expD17,cesm2_ssp585,ssp58.5,Standard,High,FALSE,3
AIS,expD18,cesm2_ssp585,ssp58.5,Standard,Low,FALSE,3
AIS,expD51,noresm1-m_rcp85,rcp8.5,Standard,PIGL_low,FALSE,3
AIS,expD52,noresm1-m_rcp85,rcp8.5,Standard,PIGL_high,FALSE,3
AIS,expD53,miroc-esm-chem_rcp85,rcp8.5,Standard,PIGL_medium,FALSE,3
AIS,expD54,miroc-esm-chem_rcp85,rcp8.5,Standard,PIGL_low,FALSE,3
AIS,expD55,miroc-esm-chem_rcp85,rcp8.5,Standard,PIGL_high,FALSE,3
AIS,expD56,ccsm4_rcp85,rcp8.5,Standard,PIGL_medium,FALSE,3
AIS,expD57,ccsm4_rcp85,rcp8.5,Standard,PIGL_low,FALSE,3
AIS,expD58,ccsm4_rcp85,rcp8.5,Standard,PIGL_high,FALSE,3
AIS,expE1,noresm1-m_rcp85,rcp8.5,Open,Medium,TRUE,3
AIS,expE2,miroc-esm-chem_rcp85,rcp8.5,Open,Medium,TRUE,3
AIS,expE3,hadgem2-es_rcp85,rcp8.5,Open,Medium,TRUE,3
AIS,expE4,csiro-mk3.6_rcp85,rcp8.5,Open,Medium,TRUE,3
AIS,expE5,ipsl-cm5-mr_rcp85,rcp8.5,Open,Medium,TRUE,3
AIS,expE6,noresm1-m_rcp85,rcp8.5,Standard,Medium,TRUE,3
AIS,expE7,miroc-esm-chem_rcp85,rcp8.5,Standard,Medium,TRUE,3
AIS,expE8,hadgem2-es_rcp85,rcp8.5,Standard,Medium,TRUE,3
AIS,expE9,csiro-mk3.6_rcp85,rcp8.5,Standard,Medium,TRUE,3
AIS,expE10,ipsl-cm5-mr_rcp85,rcp8.5,Standard,Medium,TRUE,3
AIS,expE11,cnrm-cm6_ssp585,ssp58.5,Open,Medium,TRUE,3
AIS,expE12,ukesm1-0-ll_ssp585,ssp58.5,Open,Medium,TRUE,3
AIS,expE13,cesm2_ssp585,ssp58.5,Open,Medium,TRUE,3
AIS,expE14,cnrm-esm2_ssp585,ssp58.5,Open,Medium,TRUE,3
AIS,expE15,cnrm-cm6_ssp585,ssp58.5,Standard,Medium,TRUE,3
AIS,expE16,ukesm1-0-ll_ssp585,ssp58.5,Standard,Medium,TRUE,3
AIS,expE17,cesm2_ssp585,ssp58.5,Standard,Medium,TRUE,3
AIS,expE18,cnrm-esm2_ssp585,ssp58.5,Standard,Medium,TRUE,3
GrIS,expa01,ipsl-cm5-mr_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expa02,csiro-mk3.6_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expa03,access1.3_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expb01,cnrm-cm6_ssp585,ssp58.5,,Medium,FALSE,2
GrIS,expb02,cnrm-cm6_ssp126,ssp2.6,,Medium,FALSE,2
GrIS,expb03,ukesm1-0-ll_ssp585,ssp58.5,,Medium,FALSE,2
GrIS,expb04,cesm2_ssp585,ssp58.5,,Medium,FALSE,2
GrIS,expb05,cnrm-esm2_ssp585,ssp58.5,,Medium,FALSE,2
GrIS,expc01,miroc5_ao_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expc02,miroc5_oo_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expc03,csiro-mk3.6_ao_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expc04,csiro-mk3.6_oo_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expc05,miroc5_ao_rcp26,rcp2.6,,Medium,FALSE,2
GrIS,expc06,miroc5_oo_rcp26,rcp2.6,,Medium,FALSE,2
GrIS,expc07,noresm1-m_ao_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expc08,noresm1-m_oo_rcp85,rcp8.5,,Medium,FALSE,2
GrIS,expc09,miroc5_oo_rcp85,rcp8.5,,High,FALSE,2
GrIS,expc10,miroc5_oo_rcp85,rcp8.5,,Low,FALSE,2
GrIS,expd01,noresm1-m_rcp85,rcp8.5,,High,FALSE,3
GrIS,expd02,noresm1-m_rcp85,rcp8.5,,Low,FALSE,3
GrIS,expd03,hadgem2-es_rcp85,rcp8.5,,High,FALSE,3
GrIS,expd04,hadgem2-es_rcp85,rcp8.5,,Low,FALSE,3
GrIS,expd05,miroc5_rcp26,rcp2.6,,High,FALSE,3
GrIS,expd06,miroc5_rcp26,rcp2.6,,Low,FALSE,3
GrIS,expd07,ipsl-cm5-mr_rcp85,rcp8.5,,High,FALSE,3
GrIS,expd08,ipsl-cm5-mr_rcp85,rcp8.5,,Low,FALSE,3
GrIS,expd09,csiro-mk3.6_rcp85,rcp8.5,,High,FALSE,3
GrIS,expd10,csiro-mk3.6_rcp85,rcp8.5,,Low,FALSE,3
GrIS,expd11,access1.3_rcp85,rcp8.5,,High,FALSE,3
GrIS,expd12,access1.3_rcp85,rcp8.5,,Low,FALSE,3
GrIS,expd13,cnrm-cm6_ssp585,ssp58.5,,High,FALSE,3
GrIS,expd14,cnrm-cm6_ssp585,ssp58.5,,Low,FALSE,3
GrIS,expd15,cnrm-cm6_ssp126,ssp12.6,,High,FALSE,3
GrIS,expd16,cnrm-cm6_ssp126,ssp12.6,,Low,FALSE,3
GrIS,expd17,ukesm1-0-ll_ssp585,ssp58.5,,High,FALSE,3
GrIS,expd18,ukesm1-0-ll_ssp585,ssp58.5,,Low,FALSE,3
GrIS,expd19,cesm2_ssp585,ssp58.5,,High,FALSE,3
GrIS,expd20,cesm2_ssp585,ssp58.5,,Low,FALSE,3
GrIS,expd21,cnrm-esm2_ssp585,ssp58.5,,High,FALSE,3
GrIS,expd22,cnrm-esm2_ssp585,ssp58.5,,Low,FALSE,3
